,#label,#id,sentence_length,characters_per_word,syllables_per_word,text_length,noun_phrases_per_sent,tree_height,sub_clauses_per_sent,sents_with_verb_as_root,sents_with_nouns_as_root,POS_verbs,POS_aux_verbs,POS_nouns,POS_adjectives,POS_punctuations,POS_determiners,POS_pronouns,POS_conjunctions,POS_numerales,POS_adpositions,ttr,lexical_complexity_score,verbs_in_sentence,pronouns_per_sentence,articles_per_sentence,count_of_discourse_markers,semantic_similarity_nouns,semantic_similarity_verbs,"semantic_similarity_adjectives
"
768,1.0,wiki_178,24.0,6.1666669999999995,2.1875,96,10.0,9.25,2.75,0.25,0.0,0.125,0.041667,0.322917,0.0625,0.15044200000000002,0.135417,0.10416700000000001,0.072917,0.177083,0.125,0.697917,7.858641,3.0,2.5,0.5,2.75,0.272038,0.385703,0.337385
769,1.0,wiki_179,21.0,6.280423000000001,2.201058,378,6.722222,6.8333330000000005,0.722222,0.333333,0.0,0.07142899999999999,0.029101,0.251323,0.119048,0.10613199999999999,0.166667,0.034392,0.06349199999999999,0.19312200000000002,0.134921,0.562334,8.581059,1.5,0.722222,2.888889,2.166667,0.18670799999999999,0.43878100000000003,0.143895
770,1.0,wiki_180,11.461538000000001,6.543623999999999,2.3993290000000003,298,4.115385,5.307691999999999,0.538462,0.307692,0.038462,0.134228,0.067114,0.281879,0.114094,0.130814,0.151007,0.036913,0.050336,0.17114100000000002,0.114094,0.590604,9.056792999999999,1.538462,0.42307700000000004,1.0769229999999999,1.153846,0.164469,0.297602,0.229225
771,1.0,wiki_181,14.0,7.25,2.357143,28,5.0,6.5,1.0,0.0,0.0,0.178571,0.07142899999999999,0.321429,0.035713999999999996,0.125,0.178571,0.035713999999999996,0.07142899999999999,0.14285699999999998,0.07142899999999999,0.8214290000000001,8.545843,2.5,0.5,1.5,2.0,0.142842,0.480907,0.0
772,1.0,wiki_182,12.692308,6.836364,2.5636360000000002,165,4.384615,5.153846,0.6153850000000001,0.307692,0.153846,0.09697,0.042424,0.30303,0.127273,0.181373,0.090909,0.036364,0.06060599999999999,0.266667,0.157576,0.660606,9.093132,1.230769,0.461538,0.8461540000000001,2.0,0.26158899999999996,0.506104,0.183425
773,1.0,wiki_183,19.333333,5.655172,2.310345,58,5.0,7.6666669999999995,0.666667,1.0,0.0,0.086207,0.017241,0.258621,0.034483,0.194444,0.189655,0.0,0.017241,0.344828,0.137931,0.758621,8.166666000000001,1.666667,0.0,2.666667,1.0,0.107347,0.487997,-0.18713
774,1.0,wiki_184,17.125,5.868613,2.145985,137,5.0,5.125,1.375,0.25,0.0,0.11678800000000002,0.051095,0.20438,0.10948900000000002,0.154321,0.160584,0.014599,0.051095,0.211679,0.13138699999999998,0.671533,9.099366,2.0,0.25,2.25,1.375,0.139222,0.219346,0.158228
775,1.0,wiki_185,12.846153999999999,5.449102,2.08982,167,3.9230769999999997,5.076923000000001,1.0769229999999999,0.384615,0.0,0.095808,0.035927999999999995,0.323353,0.095808,0.180488,0.07185599999999999,0.023952,0.065868,0.39521,0.137725,0.6467069999999999,9.332646,1.230769,0.307692,0.769231,1.7692310000000002,0.177265,0.44963400000000003,0.215373
776,1.0,wiki_186,12.5,6.062222,2.1333330000000004,225,4.0,5.611111,0.555556,0.44444399999999995,0.0,0.14222200000000002,0.044444,0.27555599999999997,0.097778,0.137931,0.177778,0.048889,0.062222,0.182222,0.11555599999999999,0.6,8.715224000000001,1.7222220000000001,0.611111,1.7222220000000001,1.555556,0.113647,0.349674,0.142732
777,1.0,wiki_187,14.333332999999998,6.744186,2.511628,43,4.3333330000000005,7.0,0.333333,0.333333,0.333333,0.09302300000000001,0.023256,0.27907,0.116279,0.21818200000000001,0.16279100000000002,0.0,0.046512,0.27907,0.09302300000000001,0.7906979999999999,8.666205999999999,1.333333,0.0,1.666667,1.0,0.388268,0.495496,0.300813
